Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
84,2019-03-06 20:26:30.000,**,body,11011957,data\DonneesB23\2019-03\2019-03-02\2019-03-02T15_16_17.775000,2019-03-02 15:16:17
85,2019-03-07 15:35:00.000,**,body,11012420,data\DonneesB23\2019-03\2019-03-07\2019-03-07T04_39_42.750000,2019-03-07 04:39:42
86,2019-03-07 16:43:00.000,S2,surface,11012435,data\DonneesB23\2019-03\2019-03-07\2019-03-07T04_39_42.750000,2019-03-07 04:39:42
87,2019-03-17 00:52:00.000,**,body,11015463,data\DonneesB23\2019-03\2019-03-16\2019-03-16T05_22_09.625000,2019-03-16 05:22:09
88,2019-03-20 15:32:20.000,**,body,11016677,data\DonneesB23\2019-03\2019-03-19\2019-03-19T04_59_40.850000,2019-03-19 04:59:40
89,2019-03-26 12:34:00.000,S2,surface,11018667,data\DonneesB23\2019-03\2019-03-24\2019-03-24T21_55_14.100000,2019-03-24 21:55:14
90,2019-03-28 22:20:00.000,**,body,11019798,data\DonneesB23\2019-03\2019-03-27\2019-03-27T15_32_27.425000,2019-03-27 15:32:27
91,2019-03-31 07:14:15.000,**,body,11020682,data\DonneesB23\2019-03\2019-03-30\2019-03-30T12_29_34,2019-03-30 12:29:34
92,2019-04-05 19:16:30.000,S2,surface,11022811,data\DonneesB23\2019-04\2019-04-05\2019-04-05T02_00_15.925000,2019-04-05 02:00:15
93,2019-04-07 16:08:00.000,S2,surface,11023279,data\DonneesB23\2019-04\2019-04-05\2019-04-05T02_00_15.925000,2019-04-05 02:00:15
94,2019-04-09 18:06:15.000,**,body,11024052,data\DonneesB23\2019-04\2019-04-09\2019-04-09T04_18_41.750000,2019-04-09 04:18:41
95,2019-04-12 11:54:00.000,**,body,11024890,data\DonneesB23\2019-04\2019-04-09\2019-04-09T04_18_41.750000,2019-04-09 04:18:41
96,2019-04-18 14:56:30.000,**,body,11027275,data\DonneesB23\2019-04\2019-04-14\2019-04-14T03_51_33.750000,2019-04-14 03:51:33
97,2019-04-23 05:50:00.000,**,body,11028997,data\DonneesB23\2019-04\2019-04-22\2019-04-22T12_20_05.175000,2019-04-22 12:20:05
98,2019-04-23 14:26:20.000,**,body,11029096,data\DonneesB23\2019-04\2019-04-22\2019-04-22T12_20_05.175000,2019-04-22 12:20:05
99,2019-05-03 07:07:30.000,S2,surface,11033150,data\DonneesB23\2019-05\2019-05-02\2019-05-02T01_01_11.475000,2019-05-02 01:01:11
100,2019-05-03 07:35:00.000,**,body,11033154,data\DonneesB23\2019-05\2019-05-02\2019-05-02T01_01_11.475000,2019-05-02 01:01:11
101,2019-05-04 00:19:00.000,S2,surface,11033418,data\DonneesB23\2019-05\2019-05-02\2019-05-02T01_01_11.475000,2019-05-02 01:01:11
102,2019-05-08 14:18:20.000,S2,surface,11035010,data\DonneesB23\2019-05\2019-05-07\2019-05-07T20_11_36.100000,2019-05-07 20:11:36
103,2019-05-10 03:30:00.000,**,body,11035792,data\DonneesB23\2019-05\2019-05-09\2019-05-09T23_48_36.950000,2019-05-09 23:48:36
104,2019-05-12 19:35:00.000,**,body,11036537,data\DonneesB23\2019-05\2019-05-11\2019-05-11T12_50_22.775000,2019-05-11 12:50:22
105,2019-05-16 23:05:00.000,S2,surface,11038220,data\DonneesB23\2019-05\2019-05-16\2019-05-16T22_54_01.275000,2019-05-16 22:54:01
106,2019-05-19 01:31:20.000,**,body,11039010,data\DonneesB23\2019-05\2019-05-18\2019-05-18T06_46_55.450000,2019-05-18 06:46:55
107,2019-05-19 14:35:00.000,**,body,11039134,data\DonneesB23\2019-05\2019-05-19\2019-05-19T03_05_53.800000,2019-05-19 03:05:53
108,2019-05-19 15:15:00.000,S2,surface,11039137,data\DonneesB23\2019-05\2019-05-19\2019-05-19T03_05_53.800000,2019-05-19 03:05:53
109,2019-05-30 15:50:00.000,S2,surface,11042571,data\DonneesB23\2019-05\2019-05-27\2019-05-27T12_00_20.025000,2019-05-27 12:00:20
110,2019-06-14 04:00:00.000,**,body,11048737,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
111,2019-06-16 21:12:30.000,S2,surface,11049804,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
112,2019-06-17 16:59:10.000,**,body,11050099,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
113,2019-06-18 13:35:45.000,**,body,11050447,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
114,2019-06-19 23:21:40.000,**,body,11051151,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
115,2019-06-19 23:21:40.000,**,body,11051151,data\DonneesB23\2019-06\2019-06-15\2019-06-15T23_52_37.300000,2019-06-15 23:52:37
116,2019-06-26 02:31:15.000,**,body,11053269,data\DonneesB23\2019-06\2019-06-25\2019-06-25T23_07_08.100000,2019-06-25 23:07:08
