Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
158,2018-12-25 00:25:00.000,*,body,10989140,data\DonneesB23\2018-12\2018-12-24\2018-12-24T22_07_26.275000,2018-12-24 22:07:26
159,2018-12-26 23:50:00.000,S1,surface,10989721,data\DonneesB23\2018-12\2018-12-26\2018-12-26T15_29_46.525000,2018-12-26 15:29:46
160,2018-12-27 15:00:00.000,*,body,10989901,data\DonneesB23\2018-12\2018-12-26\2018-12-26T15_29_46.525000,2018-12-26 15:29:46
161,2018-12-28 20:10:00.000,S1,surface,10996998,data\DonneesB23\2018-12\2018-12-26\2018-12-26T15_29_46.525000,2018-12-26 15:29:46
162,2018-12-28 20:37:30.000,S1,surface,10990456,data\DonneesB23\2018-12\2018-12-26\2018-12-26T15_29_46.525000,2018-12-26 15:29:46
163,2019-01-05 23:07:00.000,*,body,10992877,data\DonneesB23\2019-01\2019-01-05\2019-01-05T20_06_17.500000,2019-01-05 20:06:17
164,2019-01-17 15:18:00.000,*,body,10996799,data\DonneesB23\2019-01\2019-01-15\2019-01-15T01_51_02.250000,2019-01-15 01:51:02
165,2019-01-25 04:55:00.000,*,body,10999355,data\DonneesB23\2019-01\2019-01-24\2019-01-24T01_47_32.250000,2019-01-24 01:47:32
166,2019-01-26 13:05:00.000,S1,surface,10999684,data\DonneesB23\2019-01\2019-01-24\2019-01-24T01_47_32.250000,2019-01-24 01:47:32
167,2019-01-30 07:55:00.000,*,body,11000968,data\DonneesB23\2019-01\2019-01-30\2019-01-30T06_19_34.350000,2019-01-30 06:19:34
168,2019-02-08 12:08:00.000,*,body,11003845,data\DonneesB23\2019-02\2019-02-07\2019-02-07T10_16_18.450000,2019-02-07 10:16:18
169,2019-02-15 13:02:00.000,S1,surface,11005855,data\DonneesB23\2019-02\2019-02-13\2019-02-13T13_48_37.250000,2019-02-13 13:48:37
170,2019-02-16 00:00:00.000,*,body,11006952,data\DonneesB23\2019-02\2019-02-13\2019-02-13T13_48_37.250000,2019-02-13 13:48:37
171,2019-02-17 14:45:50.000,*,body,11006560,data\DonneesB23\2019-02\2019-02-13\2019-02-13T13_48_37.250000,2019-02-13 13:48:37
172,2019-03-06 07:38:00.000,S1,surface,11011831,data\DonneesB23\2019-03\2019-03-02\2019-03-02T15_16_17.775000,2019-03-02 15:16:17
